19/10/23, 16:44:22, 2.37, 16.36, 1243772, 1211993, 1026220, 1.026,
20/10/23, 04:44:22, 2.37, 16.35, 1240262, 1210296, 1024759, 1.025,
20/10/23, 16:44:22, 4.56, 16.39, 1246478, 1214605, 1026241, 1.026,
21/10/23, 04:44:22, 2.00, 16.35, 1245321, 1214784, 1025137, 1.025,
21/10/23, 16:44:22, 3.56, 16.36, 1245069, 1216002, 1023903, 1.024,
22/10/23, 04:44:22, -2.12, 16.20, 1244447, 1215465, 1023844, 1.024,
22/10/23, 16:44:22, 1.94, 16.32, 1247649, 1216239, 1025825, 1.026,
23/10/23, 04:44:22, 1.12, 16.31, 1250955, 1218552, 1026591, 1.027,
23/10/23, 16:44:22, -0.50, 16.27, 1250409, 1219381, 1025445, 1.025,
24/10/23, 04:44:22, -3.00, 16.15, 1245763, 1214584, 1025670, 1.026,
24/10/23, 16:44:22, 2.62, 16.32, 1249017, 1217514, 1025874, 1.026,
25/10/23, 04:44:22, 0.13, 16.24, 1248941, 1217271, 1026017, 1.026,
25/10/23, 08:42:53, 5.87, 16.58, 1248047, 1215793, 1026529, 1.027,
$END File Content!
